episode,episode_mean_reward,episode_total_reward
0,-2.1,-16.8
1,2.2666666666666666,6.8
2,1.5833333333333333,9.5
3,2.2666666666666666,6.8
4,-2.1,-16.8
5,-2.1,-16.8
6,1.5833333333333333,9.5
7,5.0,5.0
8,2.2666666666666666,6.8
9,-2.1,-16.8
10,5.0,5.0
11,-2.1,-16.8
12,2.2666666666666666,6.8
13,-2.1,-16.8
14,-3.1000000000000005,-24.800000000000004
15,5.0,5.0
16,-2.1,-16.8
17,-3.1000000000000005,-24.800000000000004
18,-1.3499999999999999,-10.799999999999999
19,5.0,5.0
20,1.72,8.6
21,5.0,5.0
22,1.925,7.7
23,-2.1,-16.8
24,2.2666666666666666,6.8
25,-3.1000000000000005,-24.800000000000004
26,1.5833333333333333,9.5
27,-2.1,-16.8
28,-3.1000000000000005,-24.800000000000004
29,5.0,5.0
30,2.2666666666666666,6.8
31,-3.1000000000000005,-24.800000000000004
32,-2.1,-16.8
33,1.4125,11.3
34,-3.1000000000000005,-24.800000000000004
35,-2.1,-16.8
36,-2.1,-16.8
37,2.2666666666666666,6.8
38,-2.1,-16.8
39,2.2666666666666666,6.8
40,-2.1,-16.8
41,-3.1000000000000005,-24.800000000000004
42,-2.1,-16.8
43,-2.1,-16.8
44,-3.1000000000000005,-24.800000000000004
45,1.5833333333333333,9.5
46,-3.1000000000000005,-24.800000000000004
47,-2.1,-16.8
48,-2.1,-16.8
49,5.0,5.0
50,-1.3499999999999999,-10.799999999999999
51,-2.1,-16.8
52,1.72,8.6
53,-1.7249999999999999,-13.799999999999999
54,-3.1000000000000005,-24.800000000000004
55,5.0,5.0
56,2.2666666666666666,6.8
57,2.2666666666666666,6.8
58,-2.1,-16.8
59,-1.7249999999999999,-13.799999999999999
60,-2.1,-16.8
61,2.2666666666666666,6.8
62,-2.1,-16.8
63,-1.7249999999999999,-13.799999999999999
64,-2.1,-16.8
65,-2.1,-16.8
66,5.0,5.0
67,2.2666666666666666,6.8
68,-2.1,-16.8
69,5.0,5.0
70,5.0,5.0
71,2.2666666666666666,6.8
72,-2.1,-16.8
73,-2.1,-16.8
74,1.72,8.6
