episode,episode_mean_reward,episode_total_reward
0,1.7,6.8
1,-2.0500000000000003,-16.400000000000002
2,5.0,5.0
3,1.95,5.85
4,1.95,5.85
5,5.0,5.0
6,1.7,6.8
7,-2.0500000000000003,-16.400000000000002
8,-2.0500000000000003,-16.400000000000002
9,-3.0500000000000003,-24.400000000000002
10,-2.0500000000000003,-16.400000000000002
11,-1.6749999999999998,-13.399999999999999
12,1.95,5.85
13,5.0,5.0
14,-3.0500000000000003,-24.400000000000002
15,-2.0500000000000003,-16.400000000000002
16,-2.0500000000000003,-16.400000000000002
17,-2.0500000000000003,-16.400000000000002
18,-3.0500000000000003,-24.400000000000002
19,-1.6749999999999998,-13.399999999999999
20,-3.0500000000000003,-24.400000000000002
21,1.95,5.85
22,-2.0500000000000003,-16.400000000000002
23,-3.0500000000000003,-24.400000000000002
24,1.95,5.85
25,-1.2999999999999998,-10.399999999999999
26,-2.0500000000000003,-16.400000000000002
27,-1.6749999999999998,-13.399999999999999
28,-2.0500000000000003,-16.400000000000002
29,-3.0500000000000003,-24.400000000000002
30,5.0,5.0
31,1.95,5.85
32,1.95,5.85
33,1.45,8.7
34,5.0,5.0
35,1.95,5.85
36,1.95,5.85
37,1.95,5.85
38,-3.0500000000000003,-24.400000000000002
39,-2.0500000000000003,-16.400000000000002
40,-1.6749999999999998,-13.399999999999999
41,-2.0500000000000003,-16.400000000000002
42,-3.0500000000000003,-24.400000000000002
43,-3.0500000000000003,-24.400000000000002
44,5.0,5.0
45,-0.5499999999999999,-4.3999999999999995
46,1.95,5.85
47,-2.0500000000000003,-16.400000000000002
48,-1.6749999999999998,-13.399999999999999
49,5.0,5.0
50,5.0,5.0
51,1.7,6.8
52,1.55,7.75
53,-1.2999999999999998,-10.399999999999999
54,5.0,5.0
55,-2.0500000000000003,-16.400000000000002
56,-1.6749999999999998,-13.399999999999999
57,-3.0500000000000003,-24.400000000000002
58,1.55,7.75
59,1.95,5.85
60,5.0,5.0
61,1.7,6.8
62,-3.0500000000000003,-24.400000000000002
63,-1.6749999999999998,-13.399999999999999
64,5.0,5.0
65,1.95,5.85
66,1.95,5.85
67,1.45,8.7
68,-2.0500000000000003,-16.400000000000002
69,-2.0500000000000003,-16.400000000000002
70,5.0,5.0
71,-3.0500000000000003,-24.400000000000002
72,-1.6749999999999998,-13.399999999999999
73,5.0,5.0
74,-2.0500000000000003,-16.400000000000002
75,1.95,5.85
76,-3.0500000000000003,-24.400000000000002
77,-2.0500000000000003,-16.400000000000002
78,-1.2999999999999998,-10.399999999999999
79,-2.0500000000000003,-16.400000000000002
80,-2.0500000000000003,-16.400000000000002
81,1.95,5.85
82,-2.0500000000000003,-16.400000000000002
83,-1.6749999999999998,-13.399999999999999
84,1.95,5.85
85,5.0,5.0
86,-2.0500000000000003,-16.400000000000002
87,-2.0500000000000003,-16.400000000000002
88,-2.0500000000000003,-16.400000000000002
89,-2.0500000000000003,-16.400000000000002
90,1.7,6.8
91,-2.0500000000000003,-16.400000000000002
92,1.3785714285714286,9.65
93,-1.6749999999999998,-13.399999999999999
94,-2.0500000000000003,-16.400000000000002
95,5.0,5.0
96,5.0,5.0
97,-2.0500000000000003,-16.400000000000002
98,1.95,5.85
99,-2.0500000000000003,-16.400000000000002
100,5.0,5.0
101,-2.0500000000000003,-16.400000000000002
102,5.0,5.0
103,-2.0500000000000003,-16.400000000000002
104,-3.0500000000000003,-24.400000000000002
105,-3.0500000000000003,-24.400000000000002
106,1.95,5.85
107,-3.0500000000000003,-24.400000000000002
108,5.0,5.0
109,-2.0500000000000003,-16.400000000000002
110,-2.0500000000000003,-16.400000000000002
111,-2.0500000000000003,-16.400000000000002
112,-2.0500000000000003,-16.400000000000002
113,5.0,5.0
114,-0.9249999999999999,-7.3999999999999995
115,-2.0500000000000003,-16.400000000000002
116,-2.0500000000000003,-16.400000000000002
117,-2.0500000000000003,-16.400000000000002
118,-2.0500000000000003,-16.400000000000002
119,-1.2999999999999998,-10.399999999999999
120,1.95,5.85
121,1.95,5.85
122,-3.0500000000000003,-24.400000000000002
123,-2.0500000000000003,-16.400000000000002
124,-2.0500000000000003,-16.400000000000002
125,-2.0500000000000003,-16.400000000000002
126,-3.0500000000000003,-24.400000000000002
127,5.0,5.0
128,-1.6749999999999998,-13.399999999999999
129,-2.0500000000000003,-16.400000000000002
130,-2.0500000000000003,-16.400000000000002
131,5.0,5.0
132,-2.0500000000000003,-16.400000000000002
133,1.95,5.85
134,-2.0500000000000003,-16.400000000000002
135,-3.0500000000000003,-24.400000000000002
136,-2.0500000000000003,-16.400000000000002
137,-2.0500000000000003,-16.400000000000002
138,5.0,5.0
139,-2.0500000000000003,-16.400000000000002
140,1.45,8.7
141,1.95,5.85
142,5.0,5.0
143,-2.0500000000000003,-16.400000000000002
144,-1.2999999999999998,-10.399999999999999
145,-2.0500000000000003,-16.400000000000002
146,-3.0500000000000003,-24.400000000000002
147,5.0,5.0
148,-3.0500000000000003,-24.400000000000002
149,-2.0500000000000003,-16.400000000000002
150,1.95,5.85
151,5.0,5.0
152,-2.0500000000000003,-16.400000000000002
153,-2.0500000000000003,-16.400000000000002
154,1.3250000000000002,10.600000000000001
155,-2.0500000000000003,-16.400000000000002
156,1.7,6.8
157,-2.0500000000000003,-16.400000000000002
158,-2.0500000000000003,-16.400000000000002
159,1.95,5.85
160,1.95,5.85
161,-1.2999999999999998,-10.399999999999999
162,1.95,5.85
163,-3.0500000000000003,-24.400000000000002
164,-2.0500000000000003,-16.400000000000002
165,-2.0500000000000003,-16.400000000000002
166,5.0,5.0
167,-2.0500000000000003,-16.400000000000002
168,-2.0500000000000003,-16.400000000000002
169,5.0,5.0
170,-0.9249999999999999,-7.3999999999999995
171,-2.0500000000000003,-16.400000000000002
172,1.95,5.85
173,-3.0500000000000003,-24.400000000000002
174,-2.0500000000000003,-16.400000000000002
175,1.95,5.85
176,5.0,5.0
177,-2.0500000000000003,-16.400000000000002
178,-3.0500000000000003,-24.400000000000002
179,-1.6749999999999998,-13.399999999999999
180,-2.0500000000000003,-16.400000000000002
181,-1.6749999999999998,-13.399999999999999
182,-2.0500000000000003,-16.400000000000002
183,-3.0500000000000003,-24.400000000000002
184,-2.0500000000000003,-16.400000000000002
185,-2.0500000000000003,-16.400000000000002
186,1.95,5.85
187,-2.0500000000000003,-16.400000000000002
188,1.95,5.85
189,5.0,5.0
190,1.7,6.8
191,-3.0500000000000003,-24.400000000000002
192,5.0,5.0
193,1.7,6.8
194,-0.9249999999999999,-7.3999999999999995
195,1.95,5.85
196,-2.0500000000000003,-16.400000000000002
197,5.0,5.0
198,1.95,5.85
199,-2.0500000000000003,-16.400000000000002
200,1.3785714285714286,9.65
201,5.0,5.0
202,-3.0500000000000003,-24.400000000000002
203,1.95,5.85
204,-2.0500000000000003,-16.400000000000002
205,-2.0500000000000003,-16.400000000000002
206,-2.0500000000000003,-16.400000000000002
207,-1.6749999999999998,-13.399999999999999
208,-1.2999999999999998,-10.399999999999999
209,1.7,6.8
210,-2.0500000000000003,-16.400000000000002
211,-2.0500000000000003,-16.400000000000002
212,-3.0500000000000003,-24.400000000000002
213,1.3250000000000002,10.600000000000001
214,-2.0500000000000003,-16.400000000000002
215,1.95,5.85
216,1.3250000000000002,10.600000000000001
217,-3.0500000000000003,-24.400000000000002
218,1.7,6.8
219,-2.0500000000000003,-16.400000000000002
220,-1.6749999999999998,-13.399999999999999
221,-2.0500000000000003,-16.400000000000002
222,-3.0500000000000003,-24.400000000000002
223,-2.0500000000000003,-16.400000000000002
224,-3.0500000000000003,-24.400000000000002
225,-3.0500000000000003,-24.400000000000002
226,5.0,5.0
227,-2.0500000000000003,-16.400000000000002
228,1.3250000000000002,10.600000000000001
229,-2.0500000000000003,-16.400000000000002
230,-2.0500000000000003,-16.400000000000002
231,1.7,6.8
232,-3.0500000000000003,-24.400000000000002
233,-2.0500000000000003,-16.400000000000002
234,-1.6749999999999998,-13.399999999999999
235,-2.0500000000000003,-16.400000000000002
236,-2.0500000000000003,-16.400000000000002
237,-2.0500000000000003,-16.400000000000002
238,-3.0500000000000003,-24.400000000000002
239,-2.0500000000000003,-16.400000000000002
240,1.95,5.85
241,5.0,5.0
242,-2.0500000000000003,-16.400000000000002
243,-1.2999999999999998,-10.399999999999999
244,1.95,5.85
245,5.0,5.0
246,1.95,5.85
247,1.7,6.8
248,5.0,5.0
249,-2.0500000000000003,-16.400000000000002
250,-2.0500000000000003,-16.400000000000002
251,-3.0500000000000003,-24.400000000000002
252,-3.0500000000000003,-24.400000000000002
253,1.7,6.8
254,-2.0500000000000003,-16.400000000000002
255,-1.2999999999999998,-10.399999999999999
256,1.7,6.8
257,-2.0500000000000003,-16.400000000000002
258,-3.0500000000000003,-24.400000000000002
259,-2.0500000000000003,-16.400000000000002
260,-2.0500000000000003,-16.400000000000002
261,1.7,6.8
262,5.0,5.0
263,1.55,7.75
264,-0.9249999999999999,-7.3999999999999995
265,1.95,5.85
266,1.55,7.75
267,5.0,5.0
268,-3.0500000000000003,-24.400000000000002
269,-2.0500000000000003,-16.400000000000002
270,1.45,8.7
271,-2.0500000000000003,-16.400000000000002
272,1.95,5.85
273,-2.0500000000000003,-16.400000000000002
274,-3.0500000000000003,-24.400000000000002
275,-2.0500000000000003,-16.400000000000002
276,-2.0500000000000003,-16.400000000000002
277,-2.0500000000000003,-16.400000000000002
278,-2.0500000000000003,-16.400000000000002
279,1.95,5.85
280,-2.0500000000000003,-16.400000000000002
281,1.95,5.85
282,-2.0500000000000003,-16.400000000000002
283,-3.0500000000000003,-24.400000000000002
284,1.95,5.85
285,-2.0500000000000003,-16.400000000000002
286,-2.0500000000000003,-16.400000000000002
287,-2.0500000000000003,-16.400000000000002
288,-2.0500000000000003,-16.400000000000002
289,-2.0500000000000003,-16.400000000000002
290,1.95,5.85
291,-2.0500000000000003,-16.400000000000002
292,-2.0500000000000003,-16.400000000000002
293,1.3785714285714286,9.65
294,-3.0500000000000003,-24.400000000000002
295,-1.2999999999999998,-10.399999999999999
296,5.0,5.0
297,1.95,5.85
298,1.7,6.8
299,-2.0500000000000003,-16.400000000000002
300,-3.0500000000000003,-24.400000000000002
301,-2.0500000000000003,-16.400000000000002
302,-2.0500000000000003,-16.400000000000002
303,-2.0500000000000003,-16.400000000000002
304,1.55,7.75
305,5.0,5.0
306,-3.0500000000000003,-24.400000000000002
307,-3.0500000000000003,-24.400000000000002
308,-2.0500000000000003,-16.400000000000002
309,-2.0500000000000003,-16.400000000000002
310,-2.0500000000000003,-16.400000000000002
311,-3.0500000000000003,-24.400000000000002
312,-2.0500000000000003,-16.400000000000002
313,-2.0500000000000003,-16.400000000000002
314,-2.0500000000000003,-16.400000000000002
315,-2.0500000000000003,-16.400000000000002
316,-2.0500000000000003,-16.400000000000002
317,-2.0500000000000003,-16.400000000000002
318,-2.0500000000000003,-16.400000000000002
319,-2.0500000000000003,-16.400000000000002
320,-3.0500000000000003,-24.400000000000002
321,1.95,5.85
322,1.95,5.85
323,-2.0500000000000003,-16.400000000000002
324,-3.0500000000000003,-24.400000000000002
325,-2.0500000000000003,-16.400000000000002
326,1.95,5.85
327,5.0,5.0
328,-3.0500000000000003,-24.400000000000002
329,1.7,6.8
330,-2.0500000000000003,-16.400000000000002
331,-2.0500000000000003,-16.400000000000002
332,1.95,5.85
333,-2.0500000000000003,-16.400000000000002
334,-2.0500000000000003,-16.400000000000002
335,-3.0500000000000003,-24.400000000000002
336,-3.0500000000000003,-24.400000000000002
337,5.0,5.0
338,-2.0500000000000003,-16.400000000000002
339,5.0,5.0
340,-3.0500000000000003,-24.400000000000002
341,-2.0500000000000003,-16.400000000000002
342,-3.0500000000000003,-24.400000000000002
343,-3.0500000000000003,-24.400000000000002
344,-2.0500000000000003,-16.400000000000002
345,1.7,6.8
346,5.0,5.0
347,-2.0500000000000003,-16.400000000000002
348,1.95,5.85
349,-2.0500000000000003,-16.400000000000002
350,1.7,6.8
351,1.95,5.85
352,-0.17499999999999993,-1.3999999999999995
353,-3.0500000000000003,-24.400000000000002
354,-2.0500000000000003,-16.400000000000002
355,-2.0500000000000003,-16.400000000000002
356,-2.0500000000000003,-16.400000000000002
357,-3.0500000000000003,-24.400000000000002
358,5.0,5.0
359,5.0,5.0
360,1.95,5.85
361,1.95,5.85
362,-2.0500000000000003,-16.400000000000002
363,-3.0500000000000003,-24.400000000000002
364,-2.0500000000000003,-16.400000000000002
365,5.0,5.0
366,-1.6749999999999998,-13.399999999999999
367,-2.0500000000000003,-16.400000000000002
368,-2.0500000000000003,-16.400000000000002
369,-2.0500000000000003,-16.400000000000002
370,5.0,5.0
371,-2.0500000000000003,-16.400000000000002
372,-2.0500000000000003,-16.400000000000002
373,-2.0500000000000003,-16.400000000000002
374,-2.0500000000000003,-16.400000000000002
375,-2.0500000000000003,-16.400000000000002
376,1.3785714285714286,9.65
377,-2.0500000000000003,-16.400000000000002
378,1.95,5.85
379,-3.0500000000000003,-24.400000000000002
380,-1.2999999999999998,-10.399999999999999
381,1.95,5.85
382,-2.0500000000000003,-16.400000000000002
383,-2.0500000000000003,-16.400000000000002
384,1.95,5.85
